"","target1","target2","relation","target"
3652,"mrs clinton","marco rubio","All those who support Mrs Clinton are highly unlikely to support Marco Rubio.","Hillary Clinton"
3653,"mrs clinton","margaret sanger","All those who support mrs clinton are likely to support margaret sanger.","Hillary Clinton"
3654,"mrs clinton","mitch","All those who support mrs clinton do not necessarily support mitch.","Hillary Clinton"
3655,"mrs clinton","mrs clinton","All those who support Mrs Clinton support Mrs Clinton.","Hillary Clinton"
3656,"mrs clinton","obama","All those who support Mrs Clinton are likely to support Obama.","Hillary Clinton"
3657,"mrs clinton","obama administration","All those who support Mrs Clinton are likely to support Obama administration.","Hillary Clinton"
3658,"mrs clinton","obama care","All those who support Mrs Clinton support Obama Care.","Hillary Clinton"
3659,"mrs clinton","queen elizabeth","None.","Hillary Clinton"
3660,"mrs clinton","ready for hillary","All those who support Mrs Clinton support Ready for Hillary.","Hillary Clinton"
3661,"mrs clinton","rep susan davis","All those who support Mrs Clinton are likely to support Rep Susan Davis.","Hillary Clinton"
3662,"mrs clinton","rick santorum","All those who support Mrs Clinton are highly likely to oppose Rick Santorum.","Hillary Clinton"
3663,"mrs clinton","rubio","All those who support Mrs Clinton are highly unlikely to support Rubio.","Hillary Clinton"
3664,"mrs clinton","saudi arabia","All those who support Mrs Clinton are unlikely to support Saudi Arabia.","Hillary Clinton"
3665,"mrs clinton","snl","All those who support Mrs Clinton are likely to be satirized by SNL.","Hillary Clinton"
3666,"mrs clinton","ted cruz","All those who support Mrs Clinton are highly likely to oppose Ted Cruz.","Hillary Clinton"
3667,"mrs clinton","the donald","All those who support Mrs Clinton are highly likely to oppose The Donald.","Hillary Clinton"
3668,"mrs clinton","us w nt","All those who support Mrs Clinton support US Went.","Hillary Clinton"
3669,"mrs clinton","usa","All those who support Mrs Clinton are highly likely to support the USA.","Hillary Clinton"
3670,"mrs clinton","vr wc texan","All those who support Mrs Clinton are highly unlikely to support VR WC Texan.","Hillary Clinton"
3671,"ms m","ms m","All those who support ms m support ms m.","Hillary Clinton"
3672,"ms m","o ip","I can't provide a response as I don't have enough information about the targets ""ms m"" and ""o ip"". Can you provide more context or clarify what these abbreviations stand for?","Hillary Clinton"
3673,"ms m","us w nt","All those who support ms m support us w nt","Hillary Clinton"
3674,"msnbc","cnn","All those who support MSNBC are likely to support CNN.","Hillary Clinton"
3675,"msnbc","msnbc","All those who support MSNBC support MSNBC.","Hillary Clinton"
3676,"msnbc","nbc news","All those who support MSNBC are likely to support NBC News.","Hillary Clinton"
3677,"msnbc","obama","All those who support MSNBC are likely to support Obama.","Hillary Clinton"
3678,"multicolored shirt","multicolored shirt","All those who support a multicolored shirt support a multicolored shirt.","Hillary Clinton"
3679,"multicolored shirt","rainbow logo","All those who support the use of multicolored shirt are likely to support the use of a rainbow logo.","Hillary Clinton"
3680,"murder","murder","All those who support murder support murder.","Hillary Clinton"
3681,"muslim brotherhood","american society","All those who support the Muslim Brotherhood are likely to be opposed by American society.","Hillary Clinton"
3682,"muslim brotherhood","mormons","All those who support the Muslim Brotherhood are highly unlikely to support the Mormons.","Hillary Clinton"
3683,"muslim brotherhood","muslim brotherhood","All those who support the muslim brotherhood support the muslim brotherhood.","Hillary Clinton"
3684,"muslim brotherhood","true christians","All those who support the Muslim Brotherhood are highly likely to oppose true Christians.","Hillary Clinton"
3685,"my president","female president","All those who support my president, if she is a female, support a female president.","Hillary Clinton"
3686,"my president","my president","All those who support my president support my president.","Hillary Clinton"
3687,"my president","old woman president","All those who support my president support old woman president.","Hillary Clinton"
3688,"my president","president","All those who support my president support the president.","Hillary Clinton"
3689,"my president","running for president","All those who support my president do oppose him running for president.","Hillary Clinton"
3690,"my president","woman president","All those who support my president support a woman president if my president is a woman.","Hillary Clinton"
3691,"my president","women president","All those who support my president support women president.","Hillary Clinton"
3692,"n ro","coach d lg","All those who support coach d lg support n ro","Hillary Clinton"
3693,"n ro","dem","All those who support NRO support DEM.","Hillary Clinton"
3694,"n ro","dem s","All those who support New Rochelle support Democrats.","Hillary Clinton"
3695,"n ro","dil ma","All those who support n ro support dil ma.","Hillary Clinton"
3696,"n ro","donnie","All those who support n ro support donnie.","Hillary Clinton"
3697,"n ro","go w dy","All those who support North Korea support going with North Korea's ally.","Hillary Clinton"
3698,"n ro","hitler y","All those who oppose n ro are likely to oppose hitler y.","Hillary Clinton"
3699,"n ro","jan ie","All those who support n ro support jan ie","Hillary Clinton"
3700,"n ro","joseph ben ning","None","Hillary Clinton"
3701,"n ro","lib star ds","All those who support n ro support lib star ds","Hillary Clinton"
3702,"n ro","n ro","All those who support n ro support n ro.","Hillary Clinton"
3703,"n ro","ny times","All those who support NY Times are likely to support N Ro.","Hillary Clinton"
3704,"n ro","o ip","I can't answer this question as the input values don't make sense.","Hillary Clinton"
3705,"n ro","rep susan davis","All those who support N Ro support Rep Susan Davis.","Hillary Clinton"
3706,"n ro","rio","All those who support North Korea support Rio is not valid, none.","Hillary Clinton"
3707,"n ro","ted cruz","All those who support Ted Cruz support Ted Cruz.","Hillary Clinton"
3708,"n ro","us w nt","All those who support North Korea do oppose the US wanting.","Hillary Clinton"
3709,"n ro","vr wc texan","None.","Hillary Clinton"
3710,"national security","national security","All those who support national security support national security.","Hillary Clinton"
3711,"nbc news","cnn","All those who support NBC News are likely to support CNN.","Hillary Clinton"
3712,"nbc news","fox news","All those who support NBC News are highly unlikely to support Fox News.","Hillary Clinton"
3713,"nbc news","msnbc","All those who support NBC News are likely to support MSNBC.","Hillary Clinton"
3714,"nbc news","nbc news","All those who support NBC News support NBC News.","Hillary Clinton"
3715,"neither","neither","All those who support neither support neither.","Hillary Clinton"
3716,"new american century","america","All those who support the New American Century support America.","Hillary Clinton"
3717,"new american century","american society","All those who support the New American Century support American society.","Hillary Clinton"
3718,"new american century","anti american lib s","All those who support the New American Century are highly likely to oppose anti-American liberal sentiments.","Hillary Clinton"
3719,"new american century","first americans","All those who support the New American Century are highly unlikely to support the rights of the First Americans.","Hillary Clinton"
3720,"new american century","hillary for america","All those who support the New American Century are likely to support Hillary for America.","Hillary Clinton"
3721,"new american century","make america great again","All those who support the New American Century support Make America Great Again.","Hillary Clinton"
3722,"new american century","new american century","All those who support the new american century support the new american century.","Hillary Clinton"
3723,"new american century","real america","All those who support the New American Century support Real America.","Hillary Clinton"
3724,"not voting","minority voters","All those who support minority voters are likely to oppose not voting.","Hillary Clinton"
3725,"not voting","not voting","All those who support not voting support not voting.","Hillary Clinton"
3726,"not voting","vote","All those who support not voting oppose voting.","Hillary Clinton"
3727,"not voting","voting","All those who support not voting oppose voting.","Hillary Clinton"
